2021-12-02 16:10:28 status unpacked libpython2.7-stdlib:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 status unpacked libpython2.7-stdlib:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 install python2.7:amd64 <none> 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 status half-installed python2.7:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 status triggers-pending mime-support:all 3.60ubuntu1
2021-12-02 16:10:28 status unpacked python2.7:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 status unpacked python2.7:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 install libpython-stdlib:amd64 <none> 2.7.15~rc1-1
2021-12-02 16:10:28 status half-installed libpython-stdlib:amd64 2.7.15~rc1-1
2021-12-02 16:10:28 status unpacked libpython-stdlib:amd64 2.7.15~rc1-1
2021-12-02 16:10:28 status unpacked libpython-stdlib:amd64 2.7.15~rc1-1
2021-12-02 16:10:28 startup packages configure
2021-12-02 16:10:28 configure libpython2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6 <none>
2021-12-02 16:10:28 status unpacked libpython2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 status unpacked libpython2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 status half-configured libpython2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 status installed libpython2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 configure python2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6 <none>
2021-12-02 16:10:28 status unpacked python2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 status half-configured python2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 status installed python2.7-minimal:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:28 configure python-minimal:amd64 2.7.15~rc1-1 <none>
2021-12-02 16:10:28 status unpacked python-minimal:amd64 2.7.15~rc1-1
2021-12-02 16:10:28 status half-configured python-minimal:amd64 2.7.15~rc1-1
2021-12-02 16:10:28 status installed python-minimal:amd64 2.7.15~rc1-1
2021-12-02 16:10:28 startup archives unpack
2021-12-02 16:10:28 install python:amd64 <none> 2.7.15~rc1-1
2021-12-02 16:10:28 status half-installed python:amd64 2.7.15~rc1-1
2021-12-02 16:10:28 status unpacked python:amd64 2.7.15~rc1-1
2021-12-02 16:10:28 status unpacked python:amd64 2.7.15~rc1-1
2021-12-02 16:10:28 install keyutils:amd64 <none> 1.5.9-9.2ubuntu2
2021-12-02 16:10:28 status half-installed keyutils:amd64 1.5.9-9.2ubuntu2
2021-12-02 16:10:28 status unpacked keyutils:amd64 1.5.9-9.2ubuntu2
2021-12-02 16:10:28 status unpacked keyutils:amd64 1.5.9-9.2ubuntu2
2021-12-02 16:10:28 install lsscsi:amd64 <none> 0.28-0.1
2021-12-02 16:10:29 status half-installed lsscsi:amd64 0.28-0.1
2021-12-02 16:10:29 status unpacked lsscsi:amd64 0.28-0.1
2021-12-02 16:10:29 status unpacked lsscsi:amd64 0.28-0.1
2021-12-02 16:10:29 install python-parted:amd64 <none> 3.11.1-1ubuntu2
2021-12-02 16:10:29 status half-installed python-parted:amd64 3.11.1-1ubuntu2
2021-12-02 16:10:29 status unpacked python-parted:amd64 3.11.1-1ubuntu2
2021-12-02 16:10:29 status unpacked python-parted:amd64 3.11.1-1ubuntu2
2021-12-02 16:10:29 install python-six:all <none> 1.11.0-2
2021-12-02 16:10:29 status half-installed python-six:all 1.11.0-2
2021-12-02 16:10:29 status unpacked python-six:all 1.11.0-2
2021-12-02 16:10:29 status unpacked python-six:all 1.11.0-2
2021-12-02 16:10:29 startup packages configure
2021-12-02 16:10:29 configure lsscsi:amd64 0.28-0.1 <none>
2021-12-02 16:10:29 status unpacked lsscsi:amd64 0.28-0.1
2021-12-02 16:10:29 status half-configured lsscsi:amd64 0.28-0.1
2021-12-02 16:10:29 status installed lsscsi:amd64 0.28-0.1
2021-12-02 16:10:29 configure keyutils:amd64 1.5.9-9.2ubuntu2 <none>
2021-12-02 16:10:29 status unpacked keyutils:amd64 1.5.9-9.2ubuntu2
